Number,Code,Service type,Error type,Identifier,Error category,Message key,Message content
1,"20S0912",Wallet Backend,System error,912,API_ERROR,com.orb.framework.auth.config.loader.AuthConfigProblem.message,システムエラーが発生しました
2,"10B0600",Auth,Business error,600,,com.orb.framework.wallet.security.AuthenticationFailure.message,予期しないエラーが発生致しました。再度操作をやり直すか、運営者にお問い合わせ下さい。
3,"20S1000",Wallet Backend,System error,1000,API_ERROR,com.orb.framework.wallet.model.balance.Failure.message,残高の取得に失敗しました。
4,"20B0509",Wallet Backend,Business error,509,INVALID_REQUEST_ERROR,com.orb.framework.wallet.model.auth.oauth.netbank.BankAccountDetail.NotSaved.message,住信SBIネット銀行口座の情報が保存されていないため、チャージが出来ません。もう一度、口座情報の登録をお願いします。
5,"20S0914",Wallet Backend,System error,914,TRANSACTION_ERROR,com.orb.framework.wallet.model.transaction.CoinCoreExecutionFailure.message,リクエストを処理する時に問題が発生しました。問題を解決するために運営者にお問い合わせをお願いします。
6,"10B0602",Auth,Business error,602,,com.orb.framework.wallet.login.DisabledAccount.message,お使いのアカウントは無効になっています。運営者にお問い合わせ下さい。運営者にお問い合わせ下さい。
7,"20B0004",Wallet Backend,Business error,4,INVALID_REQUEST_ERROR,com.orb.framework.wallet.model.user.Exist.message,ユーザーID、またメールアドレスは既に使用されています。
8,"20S0907",Wallet Backend,System error,907,API_ERROR,com.orb.framework.wallet.infrastructure.giftee.GifteeClient.SystemError.message,予期しないエラーが発生致しました。再度操作をやり直すか、運営者にお問い合わせ下さい。
9,"20B0909",Wallet Backend,Business error,909,INVALID_REQUEST_ERROR,com.orb.framework.wallet.infrastructure.giftee.GifteeClient.TokenNotValid.message,「giftee_token」が正しくありません。
10,"20B0901",Wallet Backend,Business error,901,INVALID_REQUEST_ERROR,com.orb.framework.wallet.infrastructure.giftee.GifteeClient.TokenNotFound.message,スタンプで店舗が見つけれません。
11,"20S0908",Wallet Backend,System error,908,AUTHENTICATION_ERROR,com.orb.framework.wallet.infrastructure.giftee.GifteeClient.Unauthorized.message,予期しないエラーが発生致しました。再度操作をやり直すか、運営者にお問い合わせ下さい。
12,"20S0902",Wallet Backend,System error,902,API_ERROR,com.orb.framework.wallet.infrastructure.giftee.GifteeClient.UnknownError.message,予期しないエラーが発生致しました。再度操作をやり直すか、運営者にお問い合わせ下さい。
13,"20B1008",Wallet Backend,Business error,1008,INVALID_REQUEST_ERROR,com.orb.framework.wallet.model.history.exchange.InvalidDate.message,[tx_day]は無効な文字形式です。
14,"20B0402",Wallet Backend,Business error,402,INVALID_REQUEST_ERROR,com.orb.framework.wallet.application.history.merchant.MerchantHistoryController.InvalidMerchantId.message,加盟店IDに誤りがあります。
15,"20B0401",Wallet Backend,Business error,401,INVALID_REQUEST_ERROR,com.orb.framework.wallet.application.history.TxHistoryController.InvalidOffsetFormat.message,
16,"20B0404",Wallet Backend,Business error,404,INVALID_REQUEST_ERROR,com.orb.framework.wallet.model.history.merchant.TimeParameter.message,年、月、又は日が無効です。
17,"20B0202",Wallet Backend,Business error,202,INVALID_REQUEST_ERROR,com.orb.framework.wallet.application.Transaction.InsufficientFunds.message,残高が不足しています。
18,"10B0700",Auth,Business error,700,INVALID_REQUEST_ERROR,com.orb.framework.wallet.model.history.list.MerchantListService.NoUserWithThatAuthorizationExists.message,
19,"10B0601",Auth,Business error,601,,com.orb.framework.wallet.login.LoginFailure.message,ユーザーIDまたはパスワードに誤りがあります。
20,"20B0506",Wallet Backend,Business error,506,API_ERROR,com.orb.framework.wallet.application.transaction.InvalidTransactionStatus.message,指定されたトランザクションはもう実行済みです
